,User,Tweet_time,Tweet,Hashtag,Retweet,Favorite,Join_time,Follower,Friend
10,thinkbigger007,2022-09-15 01:51:06+00:00,"Make sure you get it film memories last a life time shut on #iphone14 @Apple Stevie J rock 🪨 Team will cook a motherfer not prepared like lunchtime I’ve heard @tim_cook , 🔥 honey 🐻 but not yogi DiCaprio lifestyle reverent for y’all guys” #ntfyll #nfydoublel","[{'text': 'iphone14', 'indices': [60, 69]}, {'text': 'ntfyll', 'indices': [238, 245]}, {'text': 'nfydoublel', 'indices': [246, 257]}]",0,0,2022-08-01 02:27:12+00:00,35,518
11,LanceUlanoff,2022-09-15 01:48:39+00:00,"Interestingly, the iPhone 14 is just as capable of Action Mode video as its Pro counterparts. This is me running around my house with an equal amount of jostle, with and without the mode on.
#iPhone14 https://t.co/lS4bEv5ydL","[{'text': 'iPhone14', 'indices': [191, 200]}]",0,0,2007-03-19 13:11:54+00:00,93108,9197
12,sgmobmart,2022-09-15 01:48:08+00:00,"sell/buy/repair iPhones best price SG @ https://t.co/TuXIikTiLC

#sgBuyBack #sgFoneFix #sgiPad #iPhone14 #iPhone14plus #iPhone14Pro #iPhone14ProMax #mobileio #cryptomobile #mobilemart #mobilefix #mobileDAO https://t.co/WSUj2WThbm","[{'text': 'sgBuyBack', 'indices': [65, 75]}, {'text': 'sgFoneFix', 'indices': [76, 86]}, {'text': 'sgiPad', 'indices': [87, 94]}, {'text': 'iPhone14', 'indices': [95, 104]}, {'text': 'iPhone14plus', 'indices': [105, 118]}, {'text': 'iPhone14Pro', 'indices': [119, 131]}, {'text': 'iPhone14ProMax', 'indices': [132, 147]}, {'text': 'mobileio', 'indices': [148, 157]}, {'text': 'cryptomobile', 'indices': [158, 171]}, {'text': 'mobilemart', 'indices': [172, 183]}, {'text': 'mobilefix', 'indices': [184, 194]}, {'text': 'mobileDAO', 'indices': [195, 205]}]",0,0,2009-05-20 03:28:52+00:00,38,0
13,felipemotabr,2022-09-15 01:42:02+00:00,"Dynamic Island arrived at @Figma: https://t.co/RHRlPZoHRp

#iPhone14  #io16 #Figma","[{'text': 'iPhone14', 'indices': [59, 68]}, {'text': 'io16', 'indices': [70, 75]}, {'text': 'Figma', 'indices': [76, 82]}]",0,0,2009-08-18 21:00:07+00:00,478,214
14,ajaymi12,2022-09-15 01:41:23+00:00,@WS_MobileTrans #MobileTrans #Wondershare #iPhone14 this memory is my school days my While transferring my data from old mobile to new mobile I remembered my school days Those memories are so wonderful😔... enjoy the everyday in my friends.....so miss you my friend's✌️❤️❤️ https://t.co/f3l0GbgggU,"[{'text': 'MobileTrans', 'indices': [16, 28]}, {'text': 'Wondershare', 'indices': [29, 41]}, {'text': 'iPhone14', 'indices': [42, 51]}]",0,0,2020-11-11 17:30:20+00:00,0,106
15,DavidSeeg1,2022-09-15 01:37:10+00:00,@tim_cook THE IPHONE 14 IS RIDICULOUS !! #Apple #iPhone14,"[{'text': 'Apple', 'indices': [41, 47]}, {'text': 'iPhone14', 'indices': [48, 57]}]",0,0,2021-02-26 03:19:41+00:00,9,133
16,heyybox,2022-09-15 01:30:39+00:00,"An unboxing video from @nicole.chiclete
Thanks💙💙💙
.
.
❗️❗️❗️iPhone 14 and Samsung✔️ AVAILABLE!
Shop https://t.co/ABhcqJfFX2
Use &lt;IG10OF&gt; to get 10% off
.
.
.
#sailormoon #samsung #iphone14 #iphonecase #phonecases #LEDphonecase #art #artwork #grimes #characterart https://t.co/lDkQH6O166","[{'text': 'sailormoon', 'indices': [164, 175]}, {'text': 'samsung', 'indices': [176, 184]}, {'text': 'iphone14', 'indices': [185, 194]}, {'text': 'iphonecase', 'indices': [195, 206]}, {'text': 'phonecases', 'indices': [207, 218]}, {'text': 'LEDphonecase', 'indices': [219, 232]}, {'text': 'art', 'indices': [233, 237]}, {'text': 'artwork', 'indices': [238, 246]}, {'text': 'grimes', 'indices': [247, 254]}, {'text': 'characterart', 'indices': [255, 268]}]",0,1,2021-12-06 01:54:09+00:00,34,38
17,FavoriteTechX,2022-09-15 01:30:06+00:00,"iOS 16.1 bring Battery % on 12 mini 🤩

https://t.co/RzXC2zxIbj

#apple #iOS16 #iphone14 #iphone14pro #Airpods #iOS16beta #macOS13 #watchOS9 #watchOSbeta #iPadPro #M2 #iphone #iOS #M1X #MacBooks #iPhoneSE #AppleWatch #iPhone14Max #iPodtouch #iPadOS16 #ipados16beta https://t.co/6GxvkNHiUP","[{'text': 'apple', 'indices': [64, 70]}, {'text': 'iOS16', 'indices': [71, 77]}, {'text': 'iphone14', 'indices': [78, 87]}, {'text': 'iphone14pro', 'indices': [88, 100]}, {'text': 'Airpods', 'indices': [101, 109]}, {'text': 'iOS16beta', 'indices': [110, 120]}, {'text': 'macOS13', 'indices': [121, 129]}, {'text': 'watchOS9', 'indices': [130, 139]}, {'text': 'watchOSbeta', 'indices': [140, 152]}, {'text': 'iPadPro', 'indices': [153, 161]}, {'text': 'M2', 'indices': [162, 165]}, {'text': 'iphone', 'indices': [166, 173]}, {'text': 'iOS', 'indices': [174, 178]}, {'text': 'M1X', 'indices': [179, 183]}, {'text': 'MacBooks', 'indices': [184, 193]}, {'text': 'iPhoneSE', 'indices': [194, 203]}, {'text': 'AppleWatch', 'indices': [204, 215]}, {'text': 'iPhone14Max', 'indices': [216, 228]}, {'text': 'iPodtouch', 'indices': [229, 239]}, {'text': 'iPadOS16', 'indices': [240, 249]}, {'text': 'ipados16beta', 'indices': [250, 263]}]",0,0,2020-04-05 13:02:04+00:00,289,600
18,GavinJo07863190,2022-09-15 01:28:31+00:00,"Get yours https://t.co/lorILD8C92
#phonegrip #iPhone14 #iphone #AppleEvent
Martha's Vineyard#AEWDynamite Patagonia Uncle Phil Nestor David Peterson Waino R. Kelly Cubs Lucha Bros Matt Walsh Orange Cassidy Trevor Williams Red Sox Gleyber
#RHOBH #MAFS #FordMustang #TheChallengeUSA https://t.co/kFZvX9ZFP4","[{'text': 'phonegrip', 'indices': [34, 44]}, {'text': 'iPhone14', 'indices': [45, 54]}, {'text': 'iphone', 'indices': [55, 62]}, {'text': 'AppleEvent', 'indices': [63, 74]}, {'text': 'RHOBH', 'indices': [237, 243]}, {'text': 'MAFS', 'indices': [244, 249]}, {'text': 'FordMustang', 'indices': [250, 262]}, {'text': 'TheChallengeUSA', 'indices': [263, 279]}]",0,0,2022-03-21 08:48:39+00:00,1,2
19,sgmobmart,2022-09-15 01:27:45+00:00,"sell/buy/repair iPhones best price SG @ https://t.co/TuXIikTiLC

#sgBuyBack #sgFoneFix #sgiPad #iPhone14 #iPhone14plus #iPhone14Pro #iPhone14ProMax #mobileio #cryptomobile #mobilemart #mobilefix #mobileDAO https://t.co/03xrbh50l4","[{'text': 'sgBuyBack', 'indices': [65, 75]}, {'text': 'sgFoneFix', 'indices': [76, 86]}, {'text': 'sgiPad', 'indices': [87, 94]}, {'text': 'iPhone14', 'indices': [95, 104]}, {'text': 'iPhone14plus', 'indices': [105, 118]}, {'text': 'iPhone14Pro', 'indices': [119, 131]}, {'text': 'iPhone14ProMax', 'indices': [132, 147]}, {'text': 'mobileio', 'indices': [148, 157]}, {'text': 'cryptomobile', 'indices': [158, 171]}, {'text': 'mobilemart', 'indices': [172, 183]}, {'text': 'mobilefix', 'indices': [184, 194]}, {'text': 'mobileDAO', 'indices': [195, 205]}]",0,0,2009-05-20 03:28:52+00:00,38,0
20,RossignolTyson,2022-09-15 01:25:48+00:00,My phone’s screen for the new iOS 16 from Apple’s IPhone 13! 🍎🍏📱 @AppleSupport #iOS16 #iPhone13 #iPhone14 #fall2022 https://t.co/tqKVE9q9HP,"[{'text': 'iOS16', 'indices': [79, 85]}, {'text': 'iPhone13', 'indices': [86, 95]}, {'text': 'iPhone14', 'indices': [96, 105]}, {'text': 'fall2022', 'indices': [106, 115]}]",0,0,2020-04-13 19:48:34+00:00,6,83
21,hansgunawanr,2022-09-15 01:18:11+00:00,"What’s the most loved new feature in #iPhone14, #iPhone14Pro and #iPhone14ProMax? #Apple #iPhone #tech","[{'text': 'iPhone14', 'indices': [37, 46]}, {'text': 'iPhone14Pro', 'indices': [48, 60]}, {'text': 'iPhone14ProMax', 'indices': [65, 80]}, {'text': 'Apple', 'indices': [82, 88]}, {'text': 'iPhone', 'indices': [89, 96]}, {'text': 'tech', 'indices': [97, 102]}]",1,1,2021-08-15 23:57:11+00:00,4,46
22,rosancruz,2022-09-15 01:14:17+00:00,"Hmmmm… upgrade to iPhone 14? Peter McKinnon, professional photographer, reviews the camera of the iPhone 14 Pro Max.
https://t.co/N9alpuNSI8

#tech #iPhone14","[{'text': 'tech', 'indices': [142, 147]}, {'text': 'iPhone14', 'indices': [148, 157]}]",0,0,2009-03-02 01:02:51+00:00,1477,553
23,michaeljosh,2022-09-15 01:04:43+00:00,"My first day using the iPhone 14 was extremely rainy. But I was determined to film this next video. Here's 24 Hours with a blue iPhone 14, on a rainy 9/11 memorial day. https://t.co/YGjPTMEDjY #iPhone14","[{'text': 'iPhone14', 'indices': [193, 202]}]",1,6,2007-01-23 10:17:20+00:00,24974,934
24,dirhamabad,2022-09-15 01:01:34+00:00,"#iphone14 family
#iPhone14Pro #iPhone14ProMax 
 #usbc #esim https://t.co/ubOq3hdAfP","[{'text': 'iphone14', 'indices': [0, 9]}, {'text': 'iPhone14Pro', 'indices': [17, 29]}, {'text': 'iPhone14ProMax', 'indices': [30, 45]}, {'text': 'usbc', 'indices': [48, 53]}, {'text': 'esim', 'indices': [54, 59]}]",0,0,2009-12-11 06:57:58+00:00,179,523
25,jimmyispromo,2022-09-15 00:58:03+00:00,"I love that @Apple's ""new"" Dynamic Island or whatever it's called... is a copy of Samsung's One UI notification pop-ups, but just around their big ass camera cutout. 
@SamsungMobileUS #Samsung #iPhone #iPhone14 https://t.co/lyKEHoctrC","[{'text': 'Samsung', 'indices': [184, 192]}, {'text': 'iPhone', 'indices': [193, 200]}, {'text': 'iPhone14', 'indices': [201, 210]}]",4,21,2013-10-24 22:22:14+00:00,24119,412
26,AppTwigs,2022-09-15 00:53:08+00:00,"Lock Art - Lock Screen Widgets
Custom your lock screen right now!
https://t.co/ckUk32jiBV
#ios16 #ios #lockscreen #lockscreenwidets #iPhone14 #Apple https://t.co/AjUAmfMEQL","[{'text': 'ios16', 'indices': [90, 96]}, {'text': 'ios', 'indices': [97, 101]}, {'text': 'lockscreen', 'indices': [102, 113]}, {'text': 'lockscreenwidets', 'indices': [114, 131]}, {'text': 'iPhone14', 'indices': [132, 141]}, {'text': 'Apple', 'indices': [142, 148]}]",0,1,2022-07-12 14:07:14+00:00,1,13
27,AppTwigs,2022-09-15 00:52:44+00:00,"Lock Art - Lock Screen Widgets
Custom your lock screen right now!
https://t.co/ckUk32jiBV
#ios16 #ios #lockscreen #lockscreenwidets #iPhone14 #Apple https://t.co/86VRO1lQkF","[{'text': 'ios16', 'indices': [90, 96]}, {'text': 'ios', 'indices': [97, 101]}, {'text': 'lockscreen', 'indices': [102, 113]}, {'text': 'lockscreenwidets', 'indices': [114, 131]}, {'text': 'iPhone14', 'indices': [132, 141]}, {'text': 'Apple', 'indices': [142, 148]}]",0,1,2022-07-12 14:07:14+00:00,1,13
28,christyxcore,2022-09-15 00:52:22+00:00,Deep Purple iPhone 14 Pro Max and Space Black iPhone 14 Pro. Got questions? Let me know and I’ll answer them for you! #iphone14pro #iphone14promax #apple #iphone14 https://t.co/d5Y5y8YRd8,"[{'text': 'iphone14pro', 'indices': [118, 130]}, {'text': 'iphone14promax', 'indices': [131, 146]}, {'text': 'apple', 'indices': [147, 153]}, {'text': 'iphone14', 'indices': [154, 163]}]",0,0,2007-04-30 04:14:54+00:00,5565,1051
29,AppTwigs,2022-09-15 00:52:07+00:00,"Lock Art - Lock Screen Widgets
Custom your lock screen right now!
https://t.co/ckUk32jiBV
#ios16 #ios #lockscreen #lockscreenwidets #iPhone14 #Apple https://t.co/WoYVluF2Jv","[{'text': 'ios16', 'indices': [90, 96]}, {'text': 'ios', 'indices': [97, 101]}, {'text': 'lockscreen', 'indices': [102, 113]}, {'text': 'lockscreenwidets', 'indices': [114, 131]}, {'text': 'iPhone14', 'indices': [132, 141]}, {'text': 'Apple', 'indices': [142, 148]}]",0,1,2022-07-12 14:07:14+00:00,1,13
30,tldhollywood,2022-09-15 00:49:46+00:00,"The #Iphone14 don't really have much to them this year IMO.  I don't blame the YouTubers though, outside of the #dynamicisland there just isn't much there 🤷🏾‍♂️","[{'text': 'Iphone14', 'indices': [4, 13]}, {'text': 'dynamicisland', 'indices': [112, 126]}]",0,0,2015-04-02 00:07:29+00:00,2440,4479
31,KarthikSharan,2022-09-15 00:48:55+00:00,"@WS_MobileTrans @Vishnu4547 @vignaesh 
My Most Surprising Old Photo after Transferring to the New phone was My Dog 's photo after 10 days of born.
#nothingchangedaftertransfer and
#mobiletrans
#Wondershare #iPhone14","[{'text': 'nothingchangedaftertransfer', 'indices': [147, 175]}, {'text': 'mobiletrans', 'indices': [180, 192]}, {'text': 'Wondershare', 'indices': [193, 205]}, {'text': 'iPhone14', 'indices': [206, 215]}]",0,0,2020-04-14 06:44:17+00:00,2,85
32,Shalaco,2022-09-15 00:44:58+00:00,Did a 2x take when @petermckinnon asks “Is the 4k good” and the image turned into artifacts on cue… #iPhone14 https://t.co/KLJibgUb0o,"[{'text': 'iPhone14', 'indices': [100, 109]}]",0,4,2008-06-22 22:30:09+00:00,534,877
33,ThatGuyMrDye,2022-09-15 00:43:21+00:00,The #Iphone14 reviews just aren't the same this year ...anyone else feel that way or is it just me?,"[{'text': 'Iphone14', 'indices': [4, 13]}]",0,0,2021-08-03 03:04:08+00:00,53,171
34,NetPatahai,2022-09-15 00:38:25+00:00,"Good news for Pakistani iPhone consumers

https://t.co/O4uebMXHgF

#iPhone14 #apple #iphone
#latestiphone #samsung #phone #mobile #smartphone #tech #technews #technology #news #technologynews #patahai https://t.co/UEAbeNHKkt","[{'text': 'iPhone14', 'indices': [67, 76]}, {'text': 'apple', 'indices': [77, 83]}, {'text': 'iphone', 'indices': [84, 91]}, {'text': 'latestiphone', 'indices': [92, 105]}, {'text': 'samsung', 'indices': [106, 114]}, {'text': 'phone', 'indices': [115, 121]}, {'text': 'mobile', 'indices': [122, 129]}, {'text': 'smartphone', 'indices': [130, 141]}, {'text': 'tech', 'indices': [142, 147]}, {'text': 'technews', 'indices': [148, 157]}, {'text': 'technology', 'indices': [158, 169]}, {'text': 'news', 'indices': [170, 175]}, {'text': 'technologynews', 'indices': [176, 191]}, {'text': 'patahai', 'indices': [192, 200]}]",0,0,2022-06-27 07:59:19+00:00,2,0
35,GsxIcloudlock,2022-09-15 00:38:05+00:00,DM us for your iPhone 14 #iphone14 #iphone14pro https://t.co/E1oJFsWI7D,"[{'text': 'iphone14', 'indices': [25, 34]}, {'text': 'iphone14pro', 'indices': [35, 47]}]",0,0,2015-01-31 10:06:46+00:00,1243,20
36,Activationunloc,2022-09-15 00:34:56+00:00,#iPhone14 #iPhone14Pro DM us for more info… https://t.co/C6sqJEJa4F,"[{'text': 'iPhone14', 'indices': [0, 9]}, {'text': 'iPhone14Pro', 'indices': [10, 22]}]",1,2,2020-03-24 16:38:41+00:00,2018,6
37,Nithoshan3,2022-09-15 00:32:18+00:00,"@WS_MobileTrans I found my cat 😺 picture,
#nothingchangedaftertransfer and #mobiletrans
 #Wondershare #iPhone14 https://t.co/wFBy3K6ovM","[{'text': 'nothingchangedaftertransfer', 'indices': [42, 70]}, {'text': 'mobiletrans', 'indices': [75, 87]}, {'text': 'Wondershare', 'indices': [89, 101]}, {'text': 'iPhone14', 'indices': [102, 111]}]",0,0,2022-09-14 07:39:47+00:00,0,2
38,Saraelzabeth,2022-09-15 00:29:19+00:00,My iPhone would start glitching and battery drained faster now that the new iPhone 14 is out 😂 Apple I see you. #apple #iPhone14,"[{'text': 'apple', 'indices': [112, 118]}, {'text': 'iPhone14', 'indices': [119, 128]}]",0,0,2016-05-16 10:13:14+00:00,469,1092
39,xxhmzhhoodxs,2022-09-15 00:27:06+00:00,This happens only during iPhone Pre-order. Can’t wait for our iPhones! #iPhone14 #iPhone14Pro https://t.co/cpVh86T0Tb,"[{'text': 'iPhone14', 'indices': [71, 80]}, {'text': 'iPhone14Pro', 'indices': [81, 93]}]",0,0,2010-07-27 05:36:52+00:00,421,617
40,adamak3f,2022-09-15 00:22:35+00:00,@ijustine Such a beautiful shot! #iPhone14 https://t.co/OpTsywqzW8,"[{'text': 'iPhone14', 'indices': [33, 42]}]",0,0,2018-12-05 13:58:56+00:00,56,383
41,Mr__Khan11,2022-09-15 00:20:48+00:00,"I'm now waiting for the iPhone 13 Pro Mix to arrive to get the  #iPhone14
😜🫣 https://t.co/o4OjTN3OwC","[{'text': 'iPhone14', 'indices': [64, 73]}]",0,0,2018-12-02 07:16:05+00:00,1919,1115
42,BHmediaCo,2022-09-15 00:16:37+00:00,"Need awesome new camera gear bags or mobile phone cases?
Look not further... @peakdesignltd 
https://t.co/9EhGEIN5nK 
#peakdesign #phonecase #iPhone14 https://t.co/3X02NCWW6G","[{'text': 'peakdesign', 'indices': [118, 129]}, {'text': 'phonecase', 'indices': [130, 140]}, {'text': 'iPhone14', 'indices': [141, 150]}]",0,0,2015-11-19 08:29:04+00:00,437,1353
43,ijustine,2022-09-15 00:16:29+00:00,Unboxing all of the new #iPhone14's!! hashtag I messed up and didn't preorder purple. It's so pretty. I have been regretting it everyday while shooting this review 😂💜 what do you think? https://t.co/KWyqS0slls,"[{'text': 'iPhone14', 'indices': [24, 33]}]",70,627,2006-10-10 02:53:00+00:00,1851699,3142
44,ShopWUDN,2022-09-15 00:11:45+00:00,"The iPhone 14 Features You Want. A Series - Part 3 of 6.
The always-on screen saves power while showing your notifications.
Learn More&gt;&gt; https://t.co/xNP2P0IOV8 #WUDN #iPhone #iPhone14 #IOS16 https://t.co/qvi7ASPZU2","[{'text': 'WUDN', 'indices': [167, 172]}, {'text': 'iPhone', 'indices': [173, 180]}, {'text': 'iPhone14', 'indices': [181, 190]}, {'text': 'IOS16', 'indices': [191, 197]}]",1,1,2015-03-18 01:57:16+00:00,3863,213
45,chaseyama,2022-09-15 00:09:47+00:00,Anybody happen to know what game this is that @Apple  is using in the #iPhone14 gaming demos? 🤔 https://t.co/urnKuT0U8L,"[{'text': 'iPhone14', 'indices': [70, 79]}]",0,0,2020-05-22 20:26:18+00:00,90,141
46,PGar500,2022-09-15 00:06:40+00:00,"#iPhone14 keeps calling my name to go to Dynamic Island.   And I keep saying “I’m on a three year cycle with phones, this is Year Two, it’s gonna take more than Dynamic Parlor Trick to get me to take notice.   And is Mary Ann on this Dynamic Island of which you speak.","[{'text': 'iPhone14', 'indices': [0, 9]}]",0,0,2009-01-01 03:16:45+00:00,2915,1978
47,ZidaneTrunks,2022-09-14 23:58:56+00:00,"The latest iOS update ""16.0"" is phenomenal. I am a computer scientist so it means so much to me now!👨‍💻 @Apple @Quora #lofi #beats #electronicmusic #alternative #hiphop #jazz #instrumental #music #composer #producer #artist #datascience #BloggingCommunity #writer #ios #iPhone14","[{'text': 'lofi', 'indices': [118, 123]}, {'text': 'beats', 'indices': [124, 130]}, {'text': 'electronicmusic', 'indices': [131, 147]}, {'text': 'alternative', 'indices': [148, 160]}, {'text': 'hiphop', 'indices': [161, 168]}, {'text': 'jazz', 'indices': [169, 174]}, {'text': 'instrumental', 'indices': [175, 188]}, {'text': 'music', 'indices': [189, 195]}, {'text': 'composer', 'indices': [196, 205]}, {'text': 'producer', 'indices': [206, 215]}, {'text': 'artist', 'indices': [216, 223]}, {'text': 'datascience', 'indices': [224, 236]}, {'text': 'BloggingCommunity', 'indices': [237, 255]}, {'text': 'writer', 'indices': [256, 263]}, {'text': 'ios', 'indices': [264, 268]}, {'text': 'iPhone14', 'indices': [269, 278]}]",3,2,2017-03-21 02:02:31+00:00,40,100
48,HarmzyGee,2022-09-14 23:48:49+00:00,"Blackberry are back in the competition. Blackberry KEY 2 to run on enhanced android os.

#BlackBerry #Priv #Android #smartphone #iPhone14 #gadgets https://t.co/crqViYYQGl","[{'text': 'BlackBerry', 'indices': [89, 100]}, {'text': 'Priv', 'indices': [101, 106]}, {'text': 'Android', 'indices': [107, 115]}, {'text': 'smartphone', 'indices': [116, 127]}, {'text': 'iPhone14', 'indices': [128, 137]}, {'text': 'gadgets', 'indices': [138, 146]}]",0,0,2013-12-30 20:01:42+00:00,321,872
49,Dz4Yo,2022-09-14 23:47:19+00:00,WHAT YALL THINK? #iPhone14  #TikTok https://t.co/GcMGZKGcnt,"[{'text': 'iPhone14', 'indices': [17, 26]}, {'text': 'TikTok', 'indices': [28, 35]}]",0,0,2021-05-09 04:49:22+00:00,55,82
50,SanToki86,2022-09-14 23:43:06+00:00,#apple #appletogether failure to launch #iphone14 #antiwork #quietquitting https://t.co/Jrf4kLg0pr,"[{'text': 'apple', 'indices': [0, 6]}, {'text': 'appletogether', 'indices': [7, 21]}, {'text': 'iphone14', 'indices': [40, 49]}, {'text': 'antiwork', 'indices': [50, 59]}, {'text': 'quietquitting', 'indices': [60, 74]}]",0,3,2011-04-13 10:54:34+00:00,117,484
